"Date","RH2M","T2M","TS","T2M_MAX","T2M_MIN"
2012-04-24,79.19,9.46,9.71,13.28,6.59
2012-04-25,80.56,10.68,10.64,14.03,7.41
2012-04-26,80,10.29,10.41,13.69,7.11
2012-04-27,84.12,10.51,10.69,14.37,7.72
2012-04-28,89.62,9.12,9.19,12.26,6.58
2012-04-29,82.12,9,9.03,10.82,7.48
2012-04-30,78.06,10.08,10.37,14.83,5.62
2012-05-01,82,10.52,10.4,15,4.93
2012-05-02,73.44,12.9,13.29,19.71,5.96
2012-05-03,76.62,13.8,14.17,19.63,7.12
2012-05-04,87.69,11.98,11.77,15.73,7.99
2012-05-05,87.38,10.76,10.96,13.67,7.33
2012-05-06,82.19,10.71,11.22,15.22,7.43
2012-05-07,83.62,12.19,12.16,16.17,6.67
2012-05-08,87.81,14.43,14.5,19.57,10.26
2012-05-09,85.94,16.08,16.19,19.01,13.3
2012-05-10,86.12,16.97,17,21.12,13.3
2012-05-11,80,12.61,12.87,15.18,9.09
2012-05-12,65.38,11.24,11.78,16.48,5.58
2012-05-13,68.12,10.26,10.89,17.05,3.08
2012-05-14,66.25,11.67,11.86,18.61,5.37
2012-05-15,71.62,9.12,9.7,12.78,5.48
2012-05-16,67.69,11.07,12.15,16.77,3.65
2012-05-17,67,12.58,12.76,18.5,7.31
2012-05-18,78.38,13.37,13.85,16.95,8.8
2012-05-19,88.19,9.87,9.84,12.54,7.08
2012-05-20,92.38,10.7,10.68,12.53,8.93
2012-05-21,89.31,11.37,11.47,13.73,8.69
2012-05-22,78.88,13.65,14.2,20.2,7.58
2012-05-23,81,15.03,15.94,22.62,8.14
2012-05-24,81.62,17.94,18.42,25.59,7.9
2012-05-25,76.44,21.22,21.08,27.51,14.8
2012-05-26,76.38,18.08,18.46,25.29,13.12
2012-05-27,73.75,16.58,17.37,22.08,10.94
2012-05-28,73.44,16.88,17.3,22.3,11.4
2012-05-29,74.06,17.83,18.69,24.1,10.37
2012-05-30,78.56,17.44,17.93,23.6,11.98
2012-05-31,75.69,16.53,17.65,23.05,9.97
2012-06-01,76.38,18.3,19.27,25.06,9.87
2012-06-02,79.25,19.75,19.98,26.73,14.9
2012-06-03,72.88,16.21,16.95,20.35,12.08
2012-06-04,76.31,14.41,14.96,17.89,10.96
2012-06-05,86.44,14.23,14.29,16.65,10.71
2012-06-06,83.12,14.94,15.08,18.99,10.52
2012-06-07,81.56,15.48,15.56,19.05,12.26
2012-06-08,73.69,13.84,14.27,17.96,8.73
2012-06-09,79.44,12.81,13.18,16.51,7.52
2012-06-10,85.31,15.18,15.36,18.87,11.03
2012-06-11,85.88,13.61,14.05,18.22,9.44
2012-06-12,81.81,13.08,13.33,17.03,9.34
2012-06-13,76.25,13.59,14.25,18.47,9.12
2012-06-14,82.62,13.62,13.4,17.39,8.72
2012-06-15,84.69,15.34,15.41,18.12,12.87
2012-06-16,74.56,14.87,15.29,18.62,10.8
2012-06-17,75.94,14.73,15.21,19.28,10.7
2012-06-18,77.38,14.29,15.3,19.2,8.3
2012-06-19,77.44,16.19,16.76,21.87,9.35
2012-06-20,84.56,18.04,18.3,22.19,12.35
2012-06-21,80.44,15.86,16.16,18.76,12.76
2012-06-22,75.31,14.88,15.33,19.24,10.07
2012-06-23,73.56,14.55,15.48,20.53,8.04
2012-06-24,88.75,16.03,16.06,19.5,12.25
2012-06-25,88.25,16.52,17.12,20.4,11.32
2012-06-26,82.88,20.36,20.95,25.98,14.61
2012-06-27,83.12,21.97,22.15,27.66,15.36
2012-06-28,79.25,20.26,20.78,24.7,14.29
2012-06-29,71.69,17.19,17.76,21.33,13.78
2012-06-30,77.75,15.88,16.21,18.98,10.94
2012-07-01,70.94,14.94,15.85,20.33,9.06
2012-07-02,82.12,15.94,16.24,19.64,12.04
2012-07-03,82.31,17.44,17.73,20.87,14.66
2012-07-04,83.31,17.4,17.81,22.41,11.79
2012-07-05,82.12,15.39,15.81,19.84,10.73
2012-07-06,81.5,15.06,15.53,19.05,10.23
2012-07-07,84.38,16.43,16.62,20.62,12.38
2012-07-08,79.38,16.72,17.26,21.97,11.89
2012-07-09,76.75,16.69,17.5,22.33,10.62
2012-07-10,77.38,15.39,16.09,20.17,10
2012-07-11,78.56,14.65,14.98,19.15,9.42
2012-07-12,84.81,15.23,15.33,18.85,11.79
2012-07-13,85.5,15.45,15.73,18.44,11.62
2012-07-14,80.44,15.37,15.66,19.62,10.79
2012-07-15,76.94,14.19,14.67,19.24,9.34
2012-07-16,77.94,16.07,16.54,21.75,9.4
2012-07-17,82.75,17.98,18.47,23.83,12.13
2012-07-18,80.5,16.47,16.87,21.61,9.95
2012-07-19,78.31,16.11,16.77,21.05,11.39
2012-07-20,76.06,16.43,17.26,21.62,11.5
2012-07-21,73.38,16.32,17.21,21.55,10.62
2012-07-22,67.88,18.33,19.23,25.01,9.9
2012-07-23,62.56,19.81,20.19,26.37,12.54
2012-07-24,62.19,20.46,20.77,27.43,11.72
2012-07-25,68.19,21.93,22.55,29.33,13.44
2012-07-26,66.44,24.69,24.88,31.81,15.9
2012-07-27,78.56,21.42,21.67,26.76,16.36
2012-07-28,66.94,16.75,17.76,22.05,11.23
2012-07-29,76.62,15.01,15.24,20.44,9.48
2012-07-30,69.5,15.64,16.46,21,9.58
2012-07-31,71.06,18.43,18.73,24.35,11.89
2012-08-01,77.81,18.13,18.46,24.19,13.31
2012-08-02,76.94,17.3,17.79,21.63,12.27
2012-08-03,76.38,18.28,18.76,22.15,14.88
2012-08-04,79.44,17.1,17.24,20.43,13.26
2012-08-05,77.56,16.65,17.14,20.91,12.93
2012-08-06,76.75,15.87,16.32,21.19,11.05
2012-08-07,72,17.51,18.1,23.64,9.84
2012-08-08,71.38,19.86,20.35,26.35,12.31
2012-08-09,71.25,21.58,22.17,28.33,14.74
2012-08-10,68.12,22.01,22.46,28.63,15.4
2012-08-11,61.69,21.77,21.91,28.38,14.46
2012-08-12,73.94,19.91,20.72,24.9,14.78
2012-08-13,85.69,18.76,18.8,21.8,15.74
2012-08-14,81.81,19.92,20.15,24.53,16.53
2012-08-15,71.06,19.55,19.83,22.08,16.66
2012-08-16,69.31,20.02,20.23,23.96,16.02
2012-08-17,66.69,23.46,23.48,31.65,16.93
2012-08-18,69.81,22.63,23.2,30.65,15.08
2012-08-19,74.19,22.38,22.83,29.8,16.11
2012-08-20,75.75,21.38,22.08,26.95,16.85
2012-08-21,68.25,20.31,21.12,25.94,15.38
2012-08-22,70.56,17.36,18.43,23.57,11.42
2012-08-23,70.31,18.11,19.23,24.01,11.64
2012-08-24,84,16.98,16.83,20.31,12.15
2012-08-25,74.06,17.31,17.48,21.68,13.24
2012-08-26,74.69,16.43,17.01,21.96,10.84
2012-08-27,72.19,19.01,19.31,26,12.28
2012-08-28,71.44,18.11,18.8,23.51,13.87
2012-08-29,76.38,17.36,17.61,21.58,13.44
2012-08-30,72.06,15.99,16.48,20.91,11.58
2012-08-31,68.06,14.08,14.86,19.27,10.12
2012-09-01,79.31,15.29,15.76,20.48,10.94
2012-09-02,76.06,15.75,16.33,22.4,10.02
2012-09-03,81.75,17.42,18.08,23.4,13.01
2012-09-04,80.5,17.17,17.85,23.76,12.12
2012-09-05,78.81,17.44,17.91,24.37,11.98
2012-09-06,67.69,15.93,16.51,24.03,8.61
2012-09-07,65.94,16.76,17.12,25.51,7.96
2012-09-08,51,19.72,18.51,28.01,10.98
2012-09-09,64.44,19.48,19.07,26.55,11.55
2012-09-10,79.31,19.09,19.59,24.33,15.12
2012-09-11,76,16.34,16.61,20.57,12.03
2012-09-12,76.88,14.5,14.86,18.67,10.88
2012-09-13,69.94,14.26,14.85,19.46,9.95
2012-09-14,75.62,15.24,15.64,22.32,8.1
2012-09-15,68.44,16.76,17.24,22.27,12.48
2012-09-16,73.5,16.1,15.96,22.56,10.51
2012-09-17,78.56,16.15,16.97,22.8,10.08
2012-09-18,74.94,14.25,14.57,19.55,9.33
2012-09-19,68.94,12.29,12.81,18.53,6.8
2012-09-20,66,11.83,11.92,18.29,6.2
2012-09-21,84.62,9.83,9.77,12.69,5.82
2012-09-22,79.19,13.65,13.67,18.76,9.29
2012-09-23,82.88,16.5,16.31,24.16,11.35
2012-09-24,84.81,14.5,14.34,17.39,10.69
2012-09-25,84.25,12.37,12.01,15.61,9.8
2012-09-26,86.38,12.29,11.9,15.58,9.79
2012-09-27,82.06,12.98,13.03,17.8,9.21
2012-09-28,82.56,12.17,12.28,18.56,6.99
2012-09-29,81.75,11.75,11.85,17.26,7.19
2012-09-30,80.81,11.52,11.26,18.4,6.26
2012-10-01,86.12,13.65,13.6,18.47,7.61
